Name;Type;Units  or  mass;Status;Organisation;Institution;Entity;Nation;Oneliner;Images
SIPS  (Scanning  Imaging  Photometer  Systems);CubeSat;6U;cancelled;ASTRA  (Atmospheric  &  Space  Technology  Research  Associates);Company;Commercial;US;Low  cost  and  versatile  sensor  for  UV  remote  sensing  of  the  ionosphere.;['https://dl.airtable.com/VQNofarQNqZKC3FXpHrG_SIPS.png']
SMARTSat  (Shape  Memory  Alloy  Research  Technology  Satellite);CubeSat;1U;cancelled;Texas  A&M  University;University;Academic  /  Education;US;Demonstrate  the  use  of  shape  memory  alloys  to  deploy  solar  panels  plus  camera.;['https://dl.airtable.com/.attachments/2ce0fa7f35e43cd2bd34655d4898f0cd/dd29a8d2/SMARTSat.png']
SME-SAT  (SMESAT);CubeSat;3U;cancelled;University  of  Surrey;University;Academic  /  Education;UK;Demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/.attachments/eaf5e7a7dc084dc612020534f99295ad/1d952c0b/SME-SAT.jpg',  'https://dl.airtable.com/.attachments/76c00c023cb72bc1a4fa438c5ffb78bf/3419739b/SMESAT_2.png',  'https://dl.airtable.com/.attachments/be0b638fa41be0eb68645b7075691c66/f6c9f3ed/SMESAT_4.png',  'https://dl.airtable.com/.attachments/503a0fe95a3f36962b6adf42df37c032/a883ff23/SMESAT.png',  'https://dl.airtable.com/.attachments/9dea8a8cbcd544d368c6ef163bcaedc4/b312ae2f/SMESAT_3.png']
STU-1;CubeSat;2U;cancelled;ShanghaiTech  University;University;Academic  /  Education;China;Part  of  QB50  to  study  lower  termosphere.;[]
SunewnewSat;PocketQube;PocketQube  1p;cancelled;Yamouk  University;University;Academic  /  Education;Jordan;Promoting  space  science  and  education  among  Jordanian  students. 
                                        ;[]
T-sat1;CubeSat;3U;cancelled;University  of  Manitoba;University;Academic  /  Education;Canada;\- 
                                        ;['https://dl.airtable.com/.attachments/c2928125d75ddaa2711ac6048570016c/2719aba8/T-Sat1_2.jpg',  'https://dl.airtable.com/.attachments/1d37d3713d8906c28455f6d9f3afed74/7b336550/T-sat1.jpg']
TARO;CubeSat;2U;cancelled;National  Cheng  Kung  University;University;Academic  /  Education;Taiwan;Precursor  of  PACE  satellite  to  verify  sensors  and  actuators.;[]
TechCube  1;CubeSat;3U;cancelled;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;The  satellite  carries  a  REPT  (Relativistic  Electron  Proton  Telescope)  sensor  and  cam;['https://dl.airtable.com/o2WTx6INRAKRREquqbkK_techcube-1__2.jpg']
Topside  Sounder;CubeSat;12U;cancelled;ASTRA  (Atmospheric  &  Space  Technology  Research  Associates);Company;Commercial;US;Low  power  FMCW  HF  Sounding  instrument  to  make  topside  measurements  of  the  ionosphere.;[]
TY-1;CubeSat;2U;cancelled;Northwestern  Polytechnical  University;University;Academic  /  Education;China;Communication  experiment  and  testing  the  performance  of  our  component,  such  as  the  star  tracker  and  the  solar  panel. 
                                        ;[]
TY1-03;CubeSat;6U;cancelled;Hunan  Amateur  Radio  Society;Non-profit;Academic  /  Education;China;The  mission  includes  Telecommand  &  telemetry  in  UHF  band,  APRS  Relay  in  VHF  band  and  Digipeater  in  S  band. 
                                        ;[]
TY1-04;CubeSat;6U;cancelled;Hunan  Amateur  Radio  Society;Non-profit;Academic  /  Education;China;The  mission  includes  Telecommand  &  telemetry  in  UHF  band,  APRS  Relay  in  VHF  band  and  Digipeater  in  S  band. 
                                        ;[]
TY7-01;CubeSat;6U;cancelled;Hunan  Amateur  Radio  Society;Non-profit;Academic  /  Education;China;9k6  APRS  relay 
                                        ;[]
UAPSAT-2;CubeSat;6U;cancelled;Alas  Peruanas  University;University;Academic  /  Education;Peru;\- 
                                        ;['https://dl.airtable.com/.attachments/207658c849123d0f9fe6349e0d2f0e0e/8b3346e0/UAPSat-2.jpg']
UNSA-SAT1;CubeSat;2U;cancelled;National  University  of  St  Agustin  of  Arequipa;University;Academic  /  Education;Peru;High-rate  downlink  3.4GHZ,  5.8GHz,  2.4GHz. 
                                        ;[]
UoS3  (Project  BLAST,  University  of  Southampton  Small  Satellite);CubeSat;1U;cancelled;University  of  Southampton;University;Academic  /  Education;UK;Obtain  position  and  attitude  data  for  the  validation  of  re-entry  prediction  software  plus  camera.;['https://dl.airtable.com/.attachments/42f2963e83b61b2655d3e243860d4060/bb5dd662/UOS3_2.png',  'https://dl.airtable.com/6Z5lsPqnSCONe1113bA0_UOS3.jpg']
VELOX-P;CubeSat;1U;cancelled;Nanyang  Technological  University;University;Academic  /  Education;Singapore;Demonstrate  CubeSat  platform  technologies  plus  camera.;[]
YUsend-2;CubeSat;1U;cancelled;York  University;University;Academic  /  Education;Canada;Spectral  imaging  instrument  for  atmospheric  monitoring. 
                                        ;[]
YUsend-QB50;CubeSat;2U;cancelled;York  University;University;Academic  /  Education;Canada;Part  of  QB50  to  study  lower  termosphere.;[]
ZJU  CubeSat;CubeSat;2U;cancelled;Zhejiang  University;University;Academic  /  Education;China;Part  of  QB50  to  study  lower  termosphere.;[]
